2019-05-24 23:27:11.846214,lda;lda-dr;,0,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-24 23:27:16.009040,lda;lda-dr;,1,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-24 23:27:20.246332,lda;lda-dr;,2,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-24 23:29:39.113011,lda-dr;lda;,0,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-24 23:29:48.531357,lda-dr;bayes;,0,None,kfold_cross_val_predictions,5,0.9057243646713083,0.8697004282587981,0.9448615566627989,0.5925873565655851,0.7217885432212146,0.5026180103121628,0.8468806730130618
2019-05-24 23:29:57.443166,lda-dr;knearest_neighbours;,0,None,kfold_cross_val_predictions,5,0.8911385689971486,0.8664703733155666,0.9172525197369917,0.5611103684890612,0.6338652036039664,0.5033374635277189,0.8255479300420633
2019-05-24 23:30:30.357598,lda-dr;svm;,0,None,kfold_cross_val_predictions,5,0.9059366181897113,0.866136094797352,0.9495711328009465,0.5830165985085398,0.7321611987191107,0.4843518925616531,0.8464998893070622
2019-05-25 01:09:46.257060,pca;lda;,0,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 01:09:51.330501,pca;bayes;,0,None,kfold_cross_val_predictions,5,0.8856864244318118,0.8633290127457334,0.909232589356813,0.5451900185168856,0.6078151880068813,0.4942643590870938,0.8172946646003985
2019-05-25 01:09:53.413388,pca;knearest_neighbours;,0,None,kfold_cross_val_predictions,5,0.8941747253109118,0.8638600212089077,0.9266944235888335,0.5581981486573183,0.6540134228187919,0.4868699788160998,0.8292495018817799
2019-05-25 01:11:50.692851,pca;svm;,0,None,kfold_cross_val_predictions,5,0.9099358455981456,0.8648139039186752,0.9600254817646122,0.5860753221010903,0.7709406166481977,0.4727207322434949,0.8520611025016603
2019-05-25 02:13:12.802602,lda-dr;lda;,1,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 02:13:17.526899,lda-dr;bayes;,1,None,kfold_cross_val_predictions,5,0.9057243646713083,0.8697004282587981,0.9448615566627989,0.5925873565655851,0.7217885432212146,0.5026180103121628,0.8468806730130618
2019-05-25 02:13:21.960804,lda-dr;knearest_neighbours;,1,None,kfold_cross_val_predictions,5,0.8911385689971486,0.8664703733155666,0.9172525197369917,0.5611103684890612,0.6338652036039664,0.5033374635277189,0.8255479300420633
2019-05-25 02:13:38.630046,lda-dr;svm;,1,None,kfold_cross_val_predictions,5,0.9059366181897113,0.866136094797352,0.9495711328009465,0.5830165985085398,0.7321611987191107,0.4843518925616531,0.8464998893070622
2019-05-25 03:31:05.237636,pca;lda;,1,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 03:31:10.244737,pca;bayes;,1,None,kfold_cross_val_predictions,5,0.8856864244318118,0.8633290127457334,0.909232589356813,0.5451900185168856,0.6078151880068813,0.4942643590870938,0.8172946646003985
2019-05-25 03:31:12.269677,pca;knearest_neighbours;,1,None,kfold_cross_val_predictions,5,0.8941747253109118,0.8638600212089077,0.9266944235888335,0.5581981486573183,0.6540134228187919,0.4868699788160998,0.8292495018817799
2019-05-25 03:32:58.725776,pca;svm;,1,None,kfold_cross_val_predictions,5,0.9099358455981456,0.8648139039186752,0.9600254817646122,0.5860753221010903,0.7709406166481977,0.4727207322434949,0.8520611025016603
2019-05-25 04:33:49.723418,lda-dr;lda;,2,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 04:33:54.597507,lda-dr;bayes;,2,None,kfold_cross_val_predictions,5,0.9057243646713083,0.8697004282587981,0.9448615566627989,0.5925873565655851,0.7217885432212146,0.5026180103121628,0.8468806730130618
2019-05-25 04:33:58.951561,lda-dr;knearest_neighbours;,2,None,kfold_cross_val_predictions,5,0.8911385689971486,0.8664703733155666,0.9172525197369917,0.5611103684890612,0.6338652036039664,0.5033374635277189,0.8255479300420633
2019-05-25 04:34:14.864707,lda-dr;svm;,2,None,kfold_cross_val_predictions,5,0.9059366181897113,0.866136094797352,0.9495711328009465,0.5830165985085398,0.7321611987191107,0.4843518925616531,0.8464998893070622
2019-05-25 06:12:35.883085,pca;lda;,2,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 06:12:41.936946,pca;bayes;,2,None,kfold_cross_val_predictions,5,0.8856864244318118,0.8633290127457334,0.909232589356813,0.5451900185168856,0.6078151880068813,0.4942643590870938,0.8172946646003985
2019-05-25 06:12:44.816446,pca;knearest_neighbours;,2,None,kfold_cross_val_predictions,5,0.8941747253109118,0.8638600212089077,0.9266944235888335,0.5581981486573183,0.6540134228187919,0.4868699788160998,0.8292495018817799
2019-05-25 06:15:14.989610,pca;svm;,2,None,kfold_cross_val_predictions,5,0.9099358455981456,0.8648139039186752,0.9600254817646122,0.5860753221010903,0.7709406166481977,0.4727207322434949,0.8520611025016603
2019-05-25 07:26:17.483806,lda-dr;lda;,3,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 07:26:22.470328,lda-dr;bayes;,3,None,kfold_cross_val_predictions,5,0.9057243646713083,0.8697004282587981,0.9448615566627989,0.5925873565655851,0.7217885432212146,0.5026180103121628,0.8468806730130618
2019-05-25 07:26:26.695967,lda-dr;knearest_neighbours;,3,None,kfold_cross_val_predictions,5,0.8911385689971486,0.8664703733155666,0.9172525197369917,0.5611103684890612,0.6338652036039664,0.5033374635277189,0.8255479300420633
2019-05-25 07:26:43.045288,lda-dr;svm;,3,None,kfold_cross_val_predictions,5,0.9059366181897113,0.866136094797352,0.9495711328009465,0.5830165985085398,0.7321611987191107,0.4843518925616531,0.8464998893070622
2019-05-25 08:45:22.602471,pca;lda;,3,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 08:45:27.883602,pca;bayes;,3,None,kfold_cross_val_predictions,5,0.8856864244318118,0.8633290127457334,0.909232589356813,0.5451900185168856,0.6078151880068813,0.4942643590870938,0.8172946646003985
2019-05-25 08:45:29.976311,pca;knearest_neighbours;,3,None,kfold_cross_val_predictions,5,0.8941747253109118,0.8638600212089077,0.9266944235888335,0.5581981486573183,0.6540134228187919,0.4868699788160998,0.8292495018817799
2019-05-25 08:47:23.044196,pca;svm;,3,None,kfold_cross_val_predictions,5,0.9099358455981456,0.8648139039186752,0.9600254817646122,0.5860753221010903,0.7709406166481977,0.4727207322434949,0.8520611025016603
2019-05-25 09:50:00.954947,lda-dr;lda;,4,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 09:50:05.783509,lda-dr;bayes;,4,None,kfold_cross_val_predictions,5,0.9057243646713083,0.8697004282587981,0.9448615566627989,0.5925873565655851,0.7217885432212146,0.5026180103121628,0.8468806730130618
2019-05-25 09:50:10.041077,lda-dr;knearest_neighbours;,4,None,kfold_cross_val_predictions,5,0.8911385689971486,0.8664703733155666,0.9172525197369917,0.5611103684890612,0.6338652036039664,0.5033374635277189,0.8255479300420633
2019-05-25 09:50:26.099484,lda-dr;svm;,4,None,kfold_cross_val_predictions,5,0.9059366181897113,0.866136094797352,0.9495711328009465,0.5830165985085398,0.7321611987191107,0.4843518925616531,0.8464998893070622
2019-05-25 11:19:19.424056,pca;lda;,4,None,kfold_cross_val_predictions,5,0.9054587612516544,0.8718459075782468,0.9417673423884604,0.5978412580254955,0.7151204852802048,0.5136096566609377,0.8469072393181315
2019-05-25 11:19:27.390347,pca;bayes;,4,None,kfold_cross_val_predictions,5,0.8856864244318118,0.8633290127457334,0.909232589356813,0.5451900185168856,0.6078151880068813,0.4942643590870938,0.8172946646003985
2019-05-25 11:19:31.046195,pca;knearest_neighbours;,4,None,kfold_cross_val_predictions,5,0.8941747253109118,0.8638600212089077,0.9266944235888335,0.5581981486573183,0.6540134228187919,0.4868699788160998,0.8292495018817799
2019-05-25 11:22:28.475833,pca;svm;,4,None,kfold_cross_val_predictions,5,0.9099358455981456,0.8648139039186752,0.9600254817646122,0.5860753221010903,0.7709406166481977,0.4727207322434949,0.8520611025016603
